id,opened,closed,status,reason,type,location,neighborhood,zip,latitude,longitude
1.01E+11,10/13/13 19:43,,Open,Street Lights,Street Light Outages,17 Bartlett St  Roxbury  MA  02119,Roxbury,2119,42.328119,-71.087799
1.01E+11,10/13/13 12:06,10/15/13 7:53,Closed,Graffiti,Graffiti Removal,685 Tremont St  Roxbury  MA  02118,Roxbury,2118,42.3594,-71.0587
1.01E+11,10/13/13 11:41,,Open,Graffiti,Graffiti Removal,685 Tremont St  Roxbury  MA  02118,Roxbury,2118,42.3594,-71.0587
1.01E+11,10/13/13 0:11,,Open,Highway Maintenance,Request for Pothole Repair,5 Monsignor Reynolds Way  Roxbury  MA  02118,Roxbury,2118,42.3594,-71.0587
1.01E+11,10/12/13 13:44,,Open,General Request,General Request,27 Highland Ave  Roxbury  MA  02119,Roxbury,2119,42.32921,-71.09276
1.01E+11,10/12/13 12:54,,Open,General Request,General Request,INTERSECTION of Estabrook Rd & Shawmut Ave  Roxbury  MA  ,Roxbury,,42.292,-71.13489
1.01E+11,10/12/13 12:44,10/13/13 23:18,Closed,General Request,General Request,INTERSECTION of Camden St & Shawmut Ave  Roxbury  MA  ,Roxbury,,42.346749,-71.138537
1.01E+11,10/12/13 12:43,,Open,General Request,General Request,560 Shawmut Ave  Roxbury  MA  02118,Roxbury,2118,42.3594,-71.0587
1.01E+11,10/12/13 10:00,10/12/13 11:39,Closed,General Request,General Request,INTERSECTION of Highland St & Linwood St  Roxbury  MA  ,Roxbury,,42.3541,-71.05228
1.01E+11,10/12/13 10:00,,Open,General Request,General Request,63 Highland St  Roxbury  MA  02119,Roxbury,2119,42.32761,-71.09277
1.01E+11,10/12/13 9:55,10/12/13 11:42,Closed,General Request,General Request,INTERSECTION of Cedar St & Romar Ter  Roxbury  MA  ,Roxbury,,42.34384,-71.141442
1.01E+11,10/12/13 9:38,,Open,Graffiti,Graffiti Removal,227 Roxbury St  Roxbury  MA  02119,Roxbury,2119,42.3303,-71.09235
1.01E+11,10/12/13 0:37,,Open,Signs & Signals,Sign Repair,376 Dudley St  Roxbury  MA  02119,Roxbury,2119,42.326442,-71.07549
1.01E+11,10/12/13 0:31,,Open,General Request,General Request,16 Notre Dame St  Roxbury  MA  02119,Roxbury,2119,42.318585,-71.096392
1.01E+11,10/11/13 15:44,10/15/13 15:00,Closed,General Request,General Request,22-46 Slayton Way  Roxbury  MA  02119,Roxbury,2119,42.3594,-71.0587
1.01E+11,10/11/13 15:34,,Open,General Request,General Request,35 Valentine St  Roxbury  MA  02119,Roxbury,2119,42.322615,-71.093414
1.01E+11,10/11/13 15:32,10/15/13 12:47,Closed,General Request,General Request,17 Fulda St  Roxbury  MA  02119,Roxbury,2119,42.323131,-71.0928
1.01E+11,10/10/13 19:08,,Open,Street Lights,Street Light Outages,30 Dennis St  Roxbury  MA  02119,Roxbury,2119,42.3594,-71.0587
1.01E+11,10/10/13 18:41,10/11/13 14:56,Closed,General Request,General Request,INTERSECTION of Centre St & New Heath St  Roxbury  MA  ,Roxbury,,42.292572,-71.067269
1.01E+11,10/10/13 17:09,,Open,General Request,General Request,230 Shawmut Ave  Roxbury  MA  02118,Roxbury,2118,42.3594,-71.0587
1.01E+11,10/10/13 13:19,10/11/13 8:22,Closed,General Request,General Request,222 Dudley St  Roxbury  MA  02119,Roxbury,2119,42.32865,-71.08053
